eval,beauty,sex,tenure
4.7,1.774334,male,no
4.9,1.773151,male,yes
4.3,0.7245926,male,yes
3.3,-1.181626,male,yes
3.4,1.769452,female,yes
3.6,-0.5872612,male,yes
4,-0.0018324,female,yes
3.9,-0.0566766,female,yes
4.3,1.231394,male,yes
3.3,0.4203998,female,yes
3.7,0.2899157,female,yes
3.6,0.2899157,female,yes
4.4,0.2899157,female,yes
4,-0.7377322,male,yes
2.1,-0.7377322,male,yes
3.2,-0.5719836,male,yes
3.5,-0.6779634,female,yes
4.1,-0.6779634,female,yes
4.6,-0.6779634,female,yes
3.8,-0.6779634,female,yes
3.8,-0.6779634,female,yes
3.8,-0.6779634,female,yes
4.2,-0.6779634,female,yes
3.9,1.509794,female,yes
4.5,1.509794,female,yes
4.5,1.509794,female,yes
4.4,1.509794,female,yes
4.4,1.509794,female,yes
4.4,0.5885687,male,yes
4.5,0.5885687,male,yes
4.3,0.5885687,male,yes
4.6,0.5885687,male,yes
4.8,0.5885687,male,yes
4.3,0.5885687,male,yes
4,-0.126001,female,yes
4,-0.126001,female,yes
3.9,-0.126001,female,yes
3.3,-0.126001,female,yes
4.5,-0.25818990000000003,female,yes
4.5,-0.25818990000000003,female,yes
4.5,-0.25818990000000003,female,yes
2.5,-0.25818990000000003,female,yes
4.3,-0.25818990000000003,female,yes
4.5,-0.25818990000000003,female,yes
4.7,0.1496926,female,yes
3.5,0.1496926,female,yes
4.5,0.1496926,female,yes
3.8,0.1496926,female,yes
4.5,0.1496926,female,yes
4.3,0.1496926,female,yes
3.9,0.540917,male,no
4.3,0.540917,male,no
4.2,0.540917,male,no
5,0.540917,male,no
5,0.540917,male,no
4.6,0.540917,male,no
5,0.540917,male,no
4.7,0.540917,male,no
5,0.540917,male,no
2.7,0.2316134,male,yes
4,0.2316134,male,yes
4.4,-0.0666737,male,no
4.4,-0.0666737,male,no
4.3,-0.0666737,male,no
3.5,-0.0666737,male,no
3.8,0.2168924,male,yes
3.9,0.2168924,male,yes
3.7,0.2168924,male,yes
3.3,0.2168924,male,yes
4,0.2168924,male,yes
3.8,0.2168924,male,yes
4.2,-0.2586962,male,yes
3.1,-0.2586962,male,yes
3.6,-0.2586962,male,yes
3.3,0.5502878,female,yes
2.9,0.5502878,female,yes
3.1,0.5502878,female,yes
4,-0.0620358,male,yes
4,-0.0620358,male,yes
4.2,-0.0620358,male,yes
3.8,-0.0620358,male,yes
4.3,-0.0620358,male,yes
4.6,-0.9823852,female,no
4.3,-0.9823852,female,no
3.6,-0.9823852,female,no
4.2,-0.9823852,female,no
3.9,-0.054344,male,no
4.1,-0.054344,male,no
4,-0.054344,male,no
4.3,-0.054344,male,no
3.9,-0.054344,male,no
4.2,-0.054344,male,no
4.2,-0.054344,male,no
4.9,-0.0680143,female,yes
4,-0.0680143,female,yes
4.3,-0.0680143,female,yes
4.9,-0.0680143,female,yes
3.9,-0.0680143,female,yes
4.9,-0.0680143,female,yes
3.9,-0.0680143,female,yes
4,-0.0680143,female,yes
3.5,0.0294137,female,no
3.9,0.0294137,female,no
4,0.0294137,female,no
3.6,0.0294137,female,no
3,0.0294137,female,no
3,0.0294137,female,no
3.6,0.0294137,female,no
3.6,0.0294137,female,no
3.2,0.0294137,female,no
3.9,0.2394859,female,no
3.5,0.2394859,female,no
3.5,0.2394859,female,no
3.1,0.2394859,female,no
4.2,0.2394859,female,no
3.6,-0.7330914,male,yes
4.5,-0.7330914,male,yes
3.7,-0.7330914,male,yes
3.4,-0.7330914,male,yes
4.5,-0.1111221,male,yes
4.6,-0.1111221,male,yes
4.8,-0.1111221,male,yes
4.5,-0.1111221,male,yes
4.4,-0.1111221,male,yes
4.1,-0.1111221,male,yes
3.9,1.775517,female,yes
4.3,-0.3218485,male,yes
3.5,-0.3218485,male,yes
4,-0.3218485,male,yes
4,-0.3218485,male,yes
4.6,0.2116939,male,yes
4.6,0.2116939,male,yes
3.7,0.2116939,male,yes
3.5,0.2116939,male,yes
3.6,0.2116939,male,yes
3.9,0.2116939,male,yes
4.2,-0.717645,male,yes
3.2,-0.717645,male,yes
4.9,-0.717645,male,yes
4,-0.7326927,male,yes
3.5,-0.7326927,male,yes
3.4,-0.7326927,male,yes
4.2,-0.0102077,male,no
3.5,-0.0102077,male,no
4.4,-0.0102077,male,no
3.7,-0.0102077,male,no
3.4,-0.0102077,male,no
3,-0.0102077,male,no
3.9,-0.923957,male,yes
2.8,-0.923957,male,yes
3.7,0.5766805,male,yes
4.6,0.5766805,male,yes
4.2,0.5766805,male,yes
4.4,0.5766805,male,yes
3.8,-0.0836015,female,yes
4.1,-0.0836015,female,yes
3.7,-0.0836015,female,yes
4.1,-0.0836015,female,yes
3,-0.0836015,female,yes
3.2,-0.0836015,female,yes
2.8,-0.0836015,female,yes
4.7,-0.0836015,female,yes
4.2,-0.0836015,female,yes
3.2,-0.0836015,female,yes
3.1,-0.0836015,female,yes
4,-0.0836015,female,yes
4.2,-1.079558,male,yes
4.3,-1.079558,male,yes
3.3,1.040902,female,yes
4.1,1.040902,female,yes
3.7,1.040902,female,yes
3.3,-1.052108,male,yes
3.8,-1.052108,male,yes
3.4,-1.052108,male,yes
4.2,-1.052108,male,yes
3.8,-1.052108,male,yes
3.5,-1.052108,male,yes
3.3,-1.052108,male,yes
4.3,-0.7277681,male,yes
4.1,-0.7277681,male,yes
4.5,-0.3953965,male,yes
4.5,-0.3953965,male,yes
4.6,-0.3953965,male,yes
4.4,-0.3953965,male,yes
4.1,-0.3953965,male,yes
4.5,-0.3953965,male,yes
4.3,-0.3953965,male,yes
4.4,-0.2377786,male,yes
4.9,-0.2377786,male,yes
4.7,-0.2377786,male,yes
4.6,-0.2377786,male,yes
4.8,0.274908,male,yes
4.2,0.274908,male,yes
4.6,0.274908,male,yes
4.7,1.970023,female,no
4.6,1.970023,female,no
3.6,1.970023,female,no
3.9,1.05095,male,yes
4,1.05095,male,yes
4.4,0.2418185,male,yes
4.5,0.2418185,male,yes
4.4,0.2418185,male,yes
3,1.349395,male,yes
3.7,1.349395,male,yes
3.6,-0.2577254,female,yes
3.1,-0.2577254,female,yes
3.8,-0.6562689,female,no
4.7,-0.6562689,female,no
3.8,-0.6562689,female,no
3.8,-0.6562689,female,no
2.8,-0.6562689,female,no
4,-0.6562689,female,no
4,-0.6563948,male,yes
3.5,-0.6563948,male,yes
3.4,-0.6563948,male,yes
4,-0.6563948,male,yes
3.5,-0.6563948,male,yes
3.8,-0.6563948,male,yes
4.7,-0.6563948,male,yes
3.9,-0.6563948,male,yes
4.5,-0.6563948,male,yes
4.2,-0.6563948,male,yes
4.7,-0.6563948,male,yes
4,-0.6563948,male,yes
4.8,0.7244775,female,yes
4.8,0.7244775,female,yes
4.4,0.7244775,female,yes
4.7,0.7244775,female,yes
4.5,0.7244775,female,yes
4.2,0.6318343,male,yes
4.4,0.6318343,male,yes
4.1,0.6318343,male,yes
4.2,1.070944,female,yes
4.8,1.070944,female,yes
4.4,1.070944,female,yes
4.7,1.070944,female,yes
4.2,1.070944,female,yes
4.5,1.070944,female,yes
3.4,-1.450494,female,yes
3.7,-1.450494,female,yes
3.6,-1.450494,female,yes
3.9,-1.450494,female,yes
3.9,-1.450494,female,yes
3.7,1.15588,male,yes
3,1.15588,male,yes
3.6,-0.3260148,male,yes
3.6,-0.3260148,male,yes
4.3,-0.3260148,male,yes
4.5,-0.3260148,male,yes
3.9,0.8846435,female,yes
4.6,-0.5583452,female,yes
4.1,-0.5583452,female,yes
4.2,-0.5583452,female,yes
4.1,-0.5583452,female,yes
3.1,-0.5583452,female,yes
3.6,-0.5583452,female,yes
4.2,-0.5583452,female,yes
3,-0.5583452,female,yes
4.2,-0.5583452,female,yes
3.4,-0.3415543,male,yes
3.1,-0.5040575,female,yes
2.7,-0.5040575,female,yes
3.9,0.773524,female,yes
3.9,1.063938,female,yes
3.6,1.063938,female,yes
3.7,-1.090389,female,no
3.6,-1.090389,female,no
4.4,-1.090389,female,no
4.3,-1.090389,female,no
4.1,-1.090389,female,no
3.7,-1.090389,female,no
3.6,-1.069162,male,yes
2.8,-1.069162,male,yes
4,-1.069162,male,yes
4.4,-1.069162,male,yes
3.6,-1.069162,male,yes
3.7,1.415695,male,yes
2.9,-1.422919,male,yes
2.6,-1.422919,male,yes
4.8,-0.4899626,male,yes
4.9,-0.4899626,male,yes
4.3,-0.4899626,male,yes
4.4,-0.4899626,male,yes
4.3,-0.4899626,male,yes
4.7,-0.4899626,male,yes
4.3,-0.4899626,male,yes
4.6,-0.4899626,male,yes
4.9,-0.5835869,male,no
4.8,-0.5835869,male,no
4.7,-0.5835869,male,no
4.8,-0.5835869,male,no
4.9,-0.5835869,male,no
4.8,-0.5835869,male,no
4.8,-0.5835869,male,no
5,-0.5835869,male,no
4.5,-0.5835869,male,no
3.8,0.7566829,male,yes
3.8,0.7566829,male,yes
3.8,0.7566829,male,yes
4,0.7566829,male,yes
4.2,0.7566829,male,yes
4.5,0.8808186,male,yes
4.5,0.8808186,male,yes
4.6,0.8808186,male,yes
4.7,0.8808186,male,yes
4.1,-0.5665014,male,yes
3.6,-0.5665014,male,yes
4,-0.5665014,male,yes
3.4,0.3394037,female,yes
2.8,-0.1513687,female,yes
4.1,-1.024997,female,no
3.5,-1.024997,female,no
3.4,-1.024997,female,no
4.1,-1.024997,female,no
4.2,-1.024997,female,no
4.3,-0.0252444,male,yes
4.1,-0.0252444,male,yes
3.4,-0.0252444,male,yes
3.5,-0.7467875,male,yes
3.6,-0.7467875,male,yes
3.7,0.9889485,female,yes
3,0.9889485,female,yes
4.6,0.9889485,female,yes
4,-0.5324199,male,no
4.8,-0.5324199,male,no
4.6,-0.5324199,male,no
3.4,-0.7668921,male,yes
4.4,-0.7668921,male,yes
3.6,-0.7668921,male,yes
3.8,-0.7668921,male,yes
3.7,-0.7668921,male,yes
4.7,-0.7668921,male,yes
4.5,-0.7668921,male,yes
5,-0.7668921,male,yes
3.8,-0.7668921,male,yes
4.1,-0.7668921,male,yes
4.3,1.154256,female,no
4.4,1.154256,female,no
4.7,1.154256,female,no
3.9,1.154256,female,no
4.8,1.232602,female,yes
4.3,1.232602,female,yes
4.6,1.232602,female,yes
3.8,1.232602,female,yes
5,1.774334,male,no
4.9,1.774334,male,no
4.6,1.774334,male,no
4.6,1.774334,male,no
5,1.774334,male,no
4.6,1.774334,male,no
4.9,1.774334,male,no
4,1.773151,male,yes
3.9,1.773151,male,yes
4.1,0.7245926,male,yes
2.9,-1.181626,male,yes
2.8,-1.181626,male,yes
2.8,-1.181626,male,yes
4,-1.181626,male,yes
3.3,-1.181626,male,yes
3,-1.181626,male,yes
3.6,1.769452,female,yes
3.8,1.769452,female,yes
3.9,-0.5872612,male,yes
4.7,-0.0018324,female,yes
4.7,-0.0018324,female,yes
3.9,-0.0566766,female,yes
4.4,-0.0566766,female,yes
3.6,-0.0566766,female,yes
4.2,-0.0566766,female,yes
3.4,-0.0566766,female,yes
4,-0.0566766,female,yes
4.2,1.231394,male,yes
4.4,1.231394,male,yes
4.5,1.231394,male,yes
3.2,1.231394,male,yes
4.3,1.231394,male,yes
3.3,0.4203998,female,yes
3.2,0.4203998,female,yes
4.1,0.4203998,female,yes
